# backlog/standing-reds.tsv - the standing-red register (human directive
# 2026-09-05: "we should not sweep failing tests under the carpet").
# One row per test file that fails on main and is tolerated while its fix is
# in flight. A row MUST name an OPEN ticket (backlog/paused or backlog/active);
# a row naming a closed or absent ticket is an UNOWNED red, which throttles
# intake (BL-1429) and blocks QA approval (Article 4.2). A row is removed in
# the same land that turns the test green, and no other land removes it:
# the land step itself retires every row whose owner is the landing ticket
# (BL-1631: REGISTER_ROW_RETIRED, one line per row), so a row surviving to
# main is a defect in the land, not a parcel author's forgotten cleanup
# (BL-1604: the land step also restores an open OTHER ticket's row the
# replay tree lacks - the two run in the same registry pass, never in
# tension). BL-1428 builds the reader and the
# commit guard; until then this file is read by humans and roles.
#
# Columns, tab-separated: lane<TAB>file<TAB>ticket<TAB>first_seen<TAB>note
#   lane: property | unit | bb | acceptance | shell
#   file: repo-relative path (extension/test/... for the vitest lanes)
#   first_seen: YYYY-MM-DD the red was first recorded anywhere
#
# Measured 2026-09-05 by the specifier: each property allowlist file run alone
# under vitest.properties.config.mjs; the unit suite run once (16 files / 26
# tests red per vitest; 7 distinct files). Five allowlist rows were green and
# are not registered (BL-1428 removes them from the allowlist).
# Hardening lane: the four gates in backlog/hardening-debt-ledger.yaml from
# 2026-08-19 have all discharged (BL-956's gherkin-mutation 2026-09-05;
# BL-954's mutation 2026-09-06; BL-620/BL-955/BL-956's mutation 2026-09-10,
# backlog/evidence/BL-1441-BL-620-mutation.md,
# backlog/evidence/BL-1441-BL-955-mutation.md,
# backlog/evidence/BL-1441-BL-956-pipeline-board-caption-and-cap-hotfix-mutation.md) -
# a discharged row carries no register row (BL-1428 joins a ledger row to a
# register row on (lane, file)). The hardening lane is empty of BL-1441's
# rows as of this commit (invariant 2: a register row leaves in the same
# commit that discharges it).
unit	extension/test/bl1652HandoffdRespawnReadingsWiring.test.js	BL-1724	2026-09-24	per-file budget: 13.4s in-suite, 9.6s alone at load ~13 on BL-1697 parcel 8e0fd17c06 (QA note 003138, evidence b8b7a3ab55); 8.0s alone on main at load 12.4; seven fresh bb loads of handoffd.bb; leaves when BL-1724 lands
property	extension/test/bl1650LandStepPureEvidenceStrayInvariants.property.test.js	BL-1725	2026-09-24	invariant 2 timed out at 20000ms in the property lane at load 11-14 on BL-1697 parcel 8e0fd17c06 (QA note 003138); 10.8s alone on main at load 12.4; a fresh fixture and a full land_step_cli run per draw; leaves when BL-1725 lands
property	extension/test/bl1703OllamaLaunchProbe.property.test.js	BL-1727	2026-09-24	invariant "a never-answering endpoint refuses the launch and leaves no started process running" failed at load ~11 on BL-1720 parcel d24e8d4b0c: expected pid 7123 to be stopped (QA note 003152, evidence 7d558cc562); ollama_ancillary_stop_pid sends TERM and never waits; green on main at load 3.1; leaves when BL-1727 lands
shell	swarmforge/scripts/test/test_operator_runtime_babysitterd_watchdog.sh	BL-1728	2026-09-24	exit 2: REFUSED project-root /tmp/tmp.*: not inside a git checkout - BL-1517 (3252212a66, 2026-09-22) refuses non-checkout roots and the fixture is a bare mktemp -d; red since 2026-09-22 (QA note 003152); leaves when BL-1728 lands
property	extension/test/bl874PortableTimeInvariants.property.test.js	BL-1729	2026-09-17	kills its fork on the 640 MB worker heap cap in the full lane on the shared main checkout only: walks the repo root through walkFilesTolerant, which skips .worktrees but not .swarmforge, and reads 475 MB of .js under .swarmforge/operator/vscode-cli (894 MB alone on main, specifier 2026-09-25); two heap deaths in each of refusal-000001..000005; green in every role worktree; leaves when BL-1729 lands
property	extension/test/tempDirTrapGuard.property.test.js	BL-1729	2026-09-17	same walk as bl874PortableTimeInvariants, run twice (1778 MB alone on main, specifier 2026-09-25); the second of the two heap deaths per main-checkout refusal; green in every role worktree; leaves when BL-1729 lands
acceptance	specs/features/BL-906-operator-babysitterd-freshness-watchdog.feature	BL-1728	2026-09-25	6 of 10 scenarios fail: REFUSED project-root /tmp/bl906-op-<rand>: not inside a git checkout; the step handler bl906OperatorBabysitterdFreshnessWatchdogSteps.js builds bare mkdtemp roots that BL-1517 (3252212a66, 2026-09-22) refuses; found by coder@2 on BL-1728 parcel (note 000067); leaves when BL-1728 lands
acceptance	specs/features/BL-282-operator-longterm-memory.feature	BL-1738	2026-09-25	2 of 5 fail: REFUSED project-root /tmp/aps-operator-*: not inside a git checkout (BL-1517 fallout, operatorLongtermMemorySteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-307-swarm-auto-hibernate-on-drain.feature	BL-1738	2026-09-25	7 of 7 fail: REFUSED project-root /tmp/aps-operator-hib*: not inside a git checkout (BL-1517 fallout, operatorAutoHibernateSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-310-swarm-seed-race-launch-grace.feature	BL-1738	2026-09-25	4 of 4 fail: REFUSED project-root /tmp/aps-operator-s*: not inside a git checkout (BL-1517 fallout, operatorSeedRaceLaunchGraceSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
acceptance	specs/features/BL-318-autopark-coordinator-self-generates.feature	BL-1738	2026-09-25	2 of 4 fail: REFUSED project-root /tmp/aps-operator-s*: not inside a git checkout (BL-1517 fallout, operatorSelfGenProvenanceSteps.js); specifier census on main 2026-09-25; leaves when BL-1738 lands
